seed,scenario_pair,baseline,pr_auc,lift_at_100,sr_benign,asr_non_deny_attack
7,S4_pair,B2,0.5212,1.3400,0.0973,0.1281
7,S4_pair,B4,0.9573,2.6828,0.1503,0.1412
7,S8_pair,B2,0.6847,1.6000,0.5455,0.5455
7,S8_pair,B4,0.9900,2.7000,0.5455,0.2273
11,S4_pair,B2,0.5170,1.0800,0.0967,0.1273
11,S4_pair,B4,0.9553,2.5506,0.1522,0.1358
11,S8_pair,B2,0.7096,1.6800,0.5455,0.5455
11,S8_pair,B4,0.9900,2.7000,0.5455,0.2273
19,S4_pair,B2,0.5141,1.0600,0.0967,0.1273
19,S4_pair,B4,0.9583,2.5496,0.1133,0.1107
19,S8_pair,B2,0.6830,1.5800,0.5455,0.5455
19,S8_pair,B4,0.9900,2.7000,0.5455,0.2273
23,S4_pair,B2,0.5175,1.2400,0.0967,0.1273
23,S4_pair,B4,0.9481,2.6968,0.1147,0.1093
23,S8_pair,B2,0.6857,1.6000,0.5455,0.5455
23,S8_pair,B4,0.9900,2.7000,0.5455,0.2273
31,S4_pair,B2,0.5148,1.0600,0.0967,0.1273
31,S4_pair,B4,0.9611,2.6520,0.1153,0.1087
31,S8_pair,B2,0.6935,1.5600,0.5455,0.5455
31,S8_pair,B4,0.9900,2.7000,0.5455,0.2273
